#{"t_start": 1641332267.081127, "env_id": null}
r,l,t
-415.866335,51,934.728365
-588.467901,48,934.780679
-488.750939,48,934.837332
-459.471185,54,934.895649
-679.47211,51,965.992628
-628.606799,62,966.060635
-653.978183,57,966.121593
-570.630818,51,966.165069
-602.418547,85,966.239571
-579.926402,55,966.286388
-559.243949,48,966.328156
-659.23472,51,966.37417
-558.480644,50,966.42182
-597.458613,49,966.471009
-617.718658,52,966.52029
-625.988216,71,966.584959
-560.6624,53,966.635612
-680.701365,62,966.691986
-614.436032,55,966.78888
-621.528668,52,966.973426
-562.747901,54,967.192796
-652.494785,61,967.308554
-666.4435,69,1000.700357
-492.501867,47,1000.745191
-460.844129,47,1000.790915
-586.877783,48,1000.838659
-528.234654,45,1000.884516
-401.532569,49,1000.938088
-588.263847,44,1000.979195
-569.11073,47,1001.025019
-574.491576,45,1001.080527
-611.63915,45,1001.13079
-620.512084,47,1001.187501
-583.428872,47,1001.241515
-481.111435,49,1001.295502
-521.797829,52,1001.34767
-435.949364,50,1001.402523
-571.082905,47,1001.51907
-617.278027,50,1001.601022
-511.170778,46,1001.656139
-619.640997,45,1001.703318
-557.923986,45,1001.755376
-559.114579,48,1001.799398
-601.305052,45,1029.281883
-547.365019,48,1029.335856
-384.404628,50,1029.410758
-628.138626,46,1029.461824
-448.879531,49,1029.515657
-531.603631,46,1029.574543
-537.357748,45,1029.632241
-616.202165,43,1029.681036
-552.909111,48,1029.733973
-484.595186,50,1029.788351
-616.133148,42,1029.828279
-498.440134,48,1029.869318
-625.995409,40,1029.903953
-637.080709,42,1029.947125
-619.099502,45,1029.984923
303.46063,23,1030.004539
-594.988982,44,1030.046711
-614.628575,44,1030.08585
-580.45839,48,1030.128297
-632.221524,41,1030.163005
-439.293599,53,1030.20793
-493.138272,45,1030.247692
-614.305763,54,1061.614703
-633.301815,50,1061.661532
-581.982792,49,1061.724622
-650.518518,46,1061.795564
-553.561351,51,1061.847209
-583.058503,49,1061.891054
-402.855849,57,1061.958719
-592.751923,51,1062.011532
-549.046099,48,1062.068106
-545.738238,51,1062.129771
-640.099989,42,1062.174348
-647.112054,46,1062.221139
-609.884304,51,1062.271994
-643.216309,47,1062.320742
-623.341321,50,1062.372469
-606.634723,48,1062.426541
-599.969476,50,1062.481437
-620.656782,49,1062.548506
-640.442401,44,1062.597841
-657.696802,43,1062.653235
-578.344667,45,1062.698417
-596.017417,47,1096.091011
-621.124497,34,1096.146562
-608.312847,40,1096.196152
-612.249996,40,1096.2436
-624.915619,39,1096.287323
-623.162611,38,1096.331714
-624.952255,42,1096.373536
-629.560476,37,1096.4077
-658.670367,47,1096.45246
-623.184554,41,1096.505805
-657.220615,45,1096.615371
-577.359272,46,1096.731099
-657.371762,47,1096.864872
-642.120552,41,1096.980332
-614.860032,33,1097.063534
-626.429196,44,1097.112752
-617.422561,43,1097.157134
-620.607515,39,1097.194942
-631.951197,36,1097.231449
-669.443443,49,1097.27825
-656.261785,41,1097.312827
-666.353134,46,1097.35217
-650.958359,40,1097.386689
-633.177444,40,1097.423671
-614.867063,200,1128.490882
-1059.191261,135,1128.627909
-691.32205,200,1128.931084
-569.20385,200,1129.099506
-1269.87289,186,1129.291318
-739.53162,137,1165.807421
-632.205003,80,1165.979665
-620.602868,35,1166.032979
-575.863555,76,1166.121627
-617.530361,36,1166.157799
-489.126534,86,1166.231256
-619.883269,34,1166.260626
-508.039388,92,1166.339429
-618.692903,33,1166.384476
-622.199882,36,1166.442999
-615.660157,35,1166.502848
-618.063869,34,1166.557155
-603.032276,79,1166.637426
-621.517565,34,1166.674338
-618.138007,34,1166.708457
-621.832638,34,1166.74071
-614.618109,33,1166.768866
-613.346014,83,1166.84594
-613.284119,32,1166.875756
-466.312168,93,1200.900603
-678.932709,60,1200.963729
-419.626727,76,1201.035966
-546.59002,71,1201.16436
-601.968412,60,1201.311146
-509.741686,69,1201.424401
-584.07464,68,1201.509367
-505.132477,70,1201.574829
-596.738643,62,1201.632716
-569.640242,70,1201.703589
-534.095287,78,1201.88139
-457.160327,65,1202.027514
-471.874545,65,1202.097845
-623.509754,64,1202.164474
-547.695407,65,1202.229826
-584.829569,58,1227.554893
-669.036336,51,1227.607169
-597.528746,48,1227.654711
-670.852083,46,1227.703634
-609.043331,47,1227.749605
-534.144584,48,1227.796256
-679.378571,47,1227.845037
-551.560092,47,1227.894413
-645.723704,49,1227.947035
-665.585846,54,1228.007103
-610.028492,49,1228.070674
-633.474999,42,1228.130821
-675.874127,49,1228.19283
-598.183703,54,1228.26021
-660.7136,42,1228.317927
-635.265935,34,1228.37168
-683.424033,47,1228.435903
-591.841278,48,1228.494517
-675.516201,45,1228.540397
-608.168319,45,1228.594173
-652.581126,45,1228.646977
